"","ID","Ptt","HistType","Date","Time.Offset","Count","NumBins","Sum","0-1 m","1-2 m","2-4 m","4-5 m","5-6 m","6-10 m","10-20 m","20-50 m","50-100 m","100-200 m","200-300 m","300-500 m","500-700 m",">700 m"
"42",229340,128155,"TAD",42210,28,13,9,100,27,40.9,27.8,4.1,0,0,0,0,0,NA,NA,NA,NA,NA
"43",229341,128155,"TAD",42210.25,28,11,9,100,26,27.8,45.6,0,0,0,0,0,0,NA,NA,NA,NA,NA
"44",229342,128155,"TAD",42210.5,28,8,9,100,19,30.5,49.7,0,0,0,0,0,0,NA,NA,NA,NA,NA
"45",229343,128155,"TAD",42210.75,28,10,9,100,20,32.8,46.3,0,0,0,0,0,0,NA,NA,NA,NA,NA
"46",229344,128155,"TAD",42211,28,10,9,100,23,48.5,28.1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"47",229345,128155,"TAD",42211.25,28,9,9,100,19,36.9,43.6,0,0,0,0,0,0,NA,NA,NA,NA,NA
"48",229346,128155,"TAD",42211.5,28,9,9,100,25,43,31.2,0.4,0,0,0,0,0,NA,NA,NA,NA,NA
"49",229347,128155,"TAD",42211.75,28,11,9,100,15,35.4,49.5,0,0,0,0,0,0,NA,NA,NA,NA,NA
"50",229348,128155,"TAD",42212,28,11,9,100,17,34,48.6,0,0,0,0,0,0,NA,NA,NA,NA,NA
"51",229349,128155,"TAD",42212.25,28,4,9,100,24,48.8,26.6,0,0,0,0,0,0,NA,NA,NA,NA,NA
"52",229350,128155,"TAD",42212.5,28,8,9,100,18,39.1,42.2,0,0,0,0,0,0,NA,NA,NA,NA,NA
"53",229351,128155,"TAD",42212.75,28,9,9,100,26,45.6,27.6,0,0,0,0,0,0,NA,NA,NA,NA,NA
"54",229352,128155,"TAD",42213,28,8,9,100,22,31.1,46.1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"55",229353,128155,"TAD",42213.25,28,12,9,100,19,38.7,41.7,0,0,0,0,0,0,NA,NA,NA,NA,NA
"56",229354,128155,"TAD",42213.5,28,13,9,100,25,32.6,42.2,0,0,0,0,0,0,NA,NA,NA,NA,NA
"57",229355,128155,"TAD",42213.75,28,7,9,100,26,49.5,23.6,0,0,0,0,0,0,NA,NA,NA,NA,NA
"58",229356,128155,"TAD",42214,28,10,9,100,26,36.7,36.4,0,0,0,0,0,0,NA,NA,NA,NA,NA
"59",229357,128155,"TAD",42214.25,28,10,9,100,22,50.6,26.9,0,0,0,0,0,0,NA,NA,NA,NA,NA
"60",229358,128155,"TAD",42214.5,28,11,9,100,19,43,38,0,0,0,0,0,0,NA,NA,NA,NA,NA
"61",229359,128155,"TAD",42214.75,28,8,9,100,18,46.1,35.9,0,0,0,0,0,0,NA,NA,NA,NA,NA
"62",229360,128155,"TAD",42215,28,5,9,100,15,26.9,58.1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"63",229361,128155,"TAD",42215.25,28,6,9,100,18,29.2,52.1,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"64",229362,128155,"TAD",42215.5,28,14,9,100,15,18.7,63.8,2.2,0,0,0,0,0,NA,NA,NA,NA,NA
"65",229363,128155,"TAD",42215.75,28,8,9,100,16,17.7,64.8,0.6,0,0,0,0,0,NA,NA,NA,NA,NA
"66",229364,128155,"TAD",42216,28,9,9,100,23,34.6,41.1,0.4,0,0,0,0,0,NA,NA,NA,NA,NA
"67",229365,128155,"TAD",42216.25,28,6,9,100,19,32.4,48.6,0,0,0,0,0,0,NA,NA,NA,NA,NA
"68",229366,128155,"TAD",42216.5,28,9,9,100,14,29.9,56,0,0,0,0,0,0,NA,NA,NA,NA,NA
"69",229367,128155,"TAD",42216.75,28,15,9,100,14,33.6,50.2,1.9,0,0,0,0,0,NA,NA,NA,NA,NA
"70",229368,128155,"TAD",42217,28,9,9,100,20,43,35.7,1.1,0,0,0,0,0,NA,NA,NA,NA,NA
"71",229369,128155,"TAD",42217.25,28,8,9,100,16,30.9,52.9,0,0,0,0,0,0,NA,NA,NA,NA,NA
"72",229370,128155,"TAD",42217.5,28,8,9,100,16,17.8,65.8,0,0,0,0,0,0,NA,NA,NA,NA,NA
"73",229371,128155,"TAD",42217.75,28,12,9,100,13,21.7,62.1,2.2,0,0,0,0,0,NA,NA,NA,NA,NA
"74",229372,128155,"TAD",42218,28,12,9,100,17,17.8,64.2,0.6,0,0,0,0,0,NA,NA,NA,NA,NA
"75",229373,128155,"TAD",42218.25,28,9,9,100,17,37,44.4,1.5,0,0,0,0,0,NA,NA,NA,NA,NA
"76",229374,128155,"TAD",42218.5,28,7,9,100,15,18.3,65.8,0.3,0,0,0,0,0,NA,NA,NA,NA,NA
"77",229375,128155,"TAD",42218.75,28,10,9,100,12,17.5,70.1,0.3,0,0,0,0,0,NA,NA,NA,NA,NA
"78",229376,128155,"TAD",42219,28,10,9,100,17,31.7,50.5,0,0,0,0,0,0,NA,NA,NA,NA,NA
"79",229377,128155,"TAD",42219.25,28,18,9,100,25,38.3,36.5,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"80",229378,128155,"TAD",42219.5,28,18,9,100,18,30,47.8,4.2,0,0,0,0,0,NA,NA,NA,NA,NA
"81",229379,128155,"TAD",42219.75,28,9,9,100,17,43,39.7,0,0,0,0,0,0,NA,NA,NA,NA,NA
"82",229380,128155,"TAD",42220,28,7,9,100,16,29.9,49.3,4.2,0,0,0,0,0,NA,NA,NA,NA,NA
"83",229381,128155,"TAD",42220.25,28,12,9,100,14,40.2,42.4,2.8,0,0,0,0,0,NA,NA,NA,NA,NA
"84",229382,128155,"TAD",42220.5,28,10,9,100,20,37.8,40.6,0.7,0,0,0,0,0,NA,NA,NA,NA,NA
"85",229383,128155,"TAD",42220.75,28,12,9,100,28,59.2,12.2,0,0,0,0,0,0,NA,NA,NA,NA,NA
"86",229384,128155,"TAD",42221,28,13,9,100,17,32.6,49.3,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"87",229385,128155,"TAD",42221.25,28,9,9,100,26,35.6,36.9,0.9,0,0,0,0,0,NA,NA,NA,NA,NA
"88",229386,128155,"TAD",42221.5,28,9,9,100,17,38.6,44,0,0,0,0,0,0,NA,NA,NA,NA,NA
"89",229387,128155,"TAD",42221.75,28,7,9,100,14,72.5,12.9,0,0,0,0,0,0,NA,NA,NA,NA,NA
"90",229388,128155,"TAD",42222,28,11,9,100,14,41.9,43.7,0,0,0,0,0,0,NA,NA,NA,NA,NA
"91",229389,128155,"TAD",42222.25,28,6,9,100,18,37,44.8,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"92",229390,128155,"TAD",42222.5,28,7,9,100,10,46.5,43.1,0,0,0,0,0,0,NA,NA,NA,NA,NA
"93",229391,128155,"TAD",42222.75,28,9,9,100,10,51.9,37.7,0,0,0,0,0,0,NA,NA,NA,NA,NA
"94",229392,128155,"TAD",42223,28,14,9,100,11,40.8,47.3,0,0,0,0,0,0,NA,NA,NA,NA,NA
"95",229393,128155,"TAD",42223.25,28,8,9,100,17,39.1,43.2,0,0,0,0,0,0,NA,NA,NA,NA,NA
"96",229394,128155,"TAD",42223.5,28,7,9,100,35,57.4,7.2,0,0,0,0,0,0,NA,NA,NA,NA,NA
"97",229395,128155,"TAD",42223.75,28,5,9,100,16,58.1,25.2,0,0,0,0,0,0,NA,NA,NA,NA,NA
"98",229396,128155,"TAD",42224,28,13,9,100,13,48.5,38.3,0,0,0,0,0,0,NA,NA,NA,NA,NA
"99",229397,128155,"TAD",42224.25,28,16,9,100,17,31.9,50.2,0,0,0,0,0,0,NA,NA,NA,NA,NA
"100",229398,128155,"TAD",42224.5,28,11,9,100,27,60.4,12.3,0,0,0,0,0,0,NA,NA,NA,NA,NA
"101",229399,128155,"TAD",42224.75,28,7,9,100,31,59.2,9.7,0,0,0,0,0,0,NA,NA,NA,NA,NA
"102",229400,128155,"TAD",42225,28,6,9,100,16,33.6,49.7,0,0,0,0,0,0,NA,NA,NA,NA,NA
"103",229401,128155,"TAD",42225.25,28,9,9,100,15,32.9,49.4,2.6,0,0,0,0,0,NA,NA,NA,NA,NA
"104",229402,128155,"TAD",42225.5,28,6,9,100,17,51.9,30.1,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"105",229403,128155,"TAD",42225.75,28,12,9,100,22,70,7.2,0,0,0,0,0,0,NA,NA,NA,NA,NA
"106",229404,128155,"TAD",42226,28,11,9,100,14,65.8,19.7,0,0,0,0,0,0,NA,NA,NA,NA,NA
"107",229405,128155,"TAD",42226.25,28,13,9,100,13,49.5,36.3,0.2,0,0,0,0,0,NA,NA,NA,NA,NA
"108",229406,128155,"TAD",42226.5,28,12,9,100,8,56.8,34.3,0,0,0,0,0,0,NA,NA,NA,NA,NA
"109",229407,128155,"TAD",42226.75,28,12,9,100,9,46.1,44.6,0,0,0,0,0,0,NA,NA,NA,NA,NA
